Name                    Interi time           Scipy time              Obj fun               Interi                Scipy
25FV47                         0.20                 1.10              5501.85                  nan   -88842332191716.03
ADLITTLE                       3.17                 0.07            225494.96                  nan            225494.96
AFIRO                          2.94                 0.03              -464.75              -464.75              -464.75
AGG2                          21.60                 0.30         -20239252.36         443230152.82         -20239100.64
AGG3                          19.59                 0.27          10312115.94         502618600.68          10312115.21
BANDM                         14.23                 0.34              -158.63              -158.63              -158.63
BNL1                           0.07                 0.58              1977.63                  nan              1977.63
BNL2                         338.76                 4.94              1811.24                  nan              1811.24
CZPROB                        81.30                 1.84           2185196.70                  nan           2185196.70
